T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
29,Caribbean,2005,Percentage of individuals using the internet,13.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2010,Percentage of individuals using the internet,23.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2015,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2018,Percentage of individuals using the internet,59.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2019,Percentage of individuals using the internet,61.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2020,Percentage of individuals using the internet,63.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2000,Percentage of individuals using the internet,4.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2005,Percentage of individuals using the internet,16.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2010,Percentage of individuals using the internet,35.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2015,Percentage of individuals using the internet,55.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2018,Percentage of individuals using the internet,65.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2019,Percentage of individuals using the internet,68.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2020,Percentage of individuals using the internet,73.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2000,Percentage of individuals using the internet,3.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2005,Percentage of individuals using the internet,9.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2010,Percentage of individuals using the internet,22.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2015,Percentage of individuals using the internet,34.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2018,Percentage of individuals using the internet,43.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2019,Percentage of individuals using the internet,49.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
142,Asia,2020,Percentage of individuals using the internet,56.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2000,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2010,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2015,Percentage of individuals using the internet,43.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2018,Percentage of individuals using the internet,53.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2019,Percentage of individuals using the internet,61.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
143,Central Asia,2020,Percentage of individuals using the internet,63.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2000,Percentage of individuals using the internet,5.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
